,losses,accuracy
0,1.5499277114868164,0.3125
1,13.095952987670898,0.1875
2,12.088571548461914,0.25
3,11.584880828857422,0.28125
4,14.103333473205566,0.125
5,13.59964370727539,0.15625
6,14.103333473205566,0.125
7,13.59964370727539,0.15625
8,13.095952987670898,0.1875
9,12.592262268066406,0.21875
10,13.095952987670898,0.1875
11,13.095952987670898,0.1875
12,15.110713958740234,0.0625
13,13.095952987670898,0.1875
14,13.59964370727539,0.15625
15,12.088571548461914,0.25
16,13.599642753601074,0.15625
17,14.103333473205566,0.125
18,13.095952987670898,0.1875
19,12.592262268066406,0.21875
20,13.59964370727539,0.15625
21,14.103333473205566,0.125
22,14.103333473205566,0.125
23,14.607023239135742,0.09375
24,14.607023239135742,0.09375
25,13.095952033996582,0.1875
26,13.095952987670898,0.1875
27,14.103333473205566,0.125
28,14.607023239135742,0.09375
29,14.103333473205566,0.125
30,16.11809539794922,0.0
31,13.095952987670898,0.1875
32,13.095952987670898,0.1875
33,13.095952987670898,0.1875
34,15.110713958740234,0.0625
35,13.599642753601074,0.15625
36,13.59964370727539,0.15625
37,15.614404678344727,0.03125
38,13.095952033996582,0.1875
39,13.599642753601074,0.15625
40,13.59964370727539,0.15625
41,13.59964370727539,0.15625
42,15.614404678344727,0.03125
43,13.095952987670898,0.1875
44,12.592262268066406,0.21875
45,13.59964370727539,0.15625
46,14.103333473205566,0.125
47,14.607023239135742,0.09375
48,12.088571548461914,0.25
49,13.59964370727539,0.15625
50,13.095952987670898,0.1875
51,13.599642753601074,0.15625
52,14.607023239135742,0.09375
53,13.59964370727539,0.15625
54,13.59964370727539,0.15625
55,11.08119010925293,0.3125
56,11.08119010925293,0.3125
57,12.088571548461914,0.25
58,13.095952987670898,0.1875
59,13.095952987670898,0.1875
60,13.59964370727539,0.15625
61,12.592262268066406,0.21875
62,14.607023239135742,0.09375
63,13.095952987670898,0.1875
64,9.57011890411377,0.40625
65,15.110713958740234,0.0625
66,11.08119010925293,0.3125
67,12.088571548461914,0.25
68,13.095952987670898,0.1875
69,11.584880828857422,0.28125
70,13.599642753601074,0.15625
71,13.59964370727539,0.15625
72,15.110713958740234,0.0625
73,12.088571548461914,0.25
74,13.59964370727539,0.15625
75,12.592262268066406,0.21875
76,11.584880828857422,0.28125
77,14.607023239135742,0.09375
78,13.59964370727539,0.15625
79,13.095952987670898,0.1875
80,13.095952987670898,0.1875
81,12.592262268066406,0.21875
82,11.584880828857422,0.28125
83,11.08119010925293,0.3125
84,14.103333473205566,0.125
85,15.614404678344727,0.03125
86,14.103333473205566,0.125
87,12.592262268066406,0.21875
88,14.103333473205566,0.125
89,13.095952987670898,0.1875
90,13.59964370727539,0.15625
91,12.592262268066406,0.21875
92,14.103333473205566,0.125
93,14.607023239135742,0.09375
94,14.103333473205566,0.125
95,15.110713958740234,0.0625
96,11.584880828857422,0.28125
97,13.59964370727539,0.15625
98,11.584880828857422,0.28125
99,12.592262268066406,0.21875
100,13.59964370727539,0.15625
101,14.103333473205566,0.125
102,14.103333473205566,0.125
103,12.088571548461914,0.25
104,11.584880828857422,0.28125
105,11.081191062927246,0.3125
106,13.095952987670898,0.1875
107,13.095952033996582,0.1875
108,12.592262268066406,0.21875
109,13.095952033996582,0.1875
110,13.59964370727539,0.15625
111,12.592262268066406,0.21875
112,11.08119010925293,0.3125
113,14.103333473205566,0.125
114,15.110713958740234,0.0625
115,11.584880828857422,0.28125
116,13.095952033996582,0.1875
117,15.110713958740234,0.0625
118,14.103333473205566,0.125
119,14.607023239135742,0.09375
120,13.095952987670898,0.1875
121,13.095952987670898,0.1875
122,13.095952987670898,0.1875
123,13.59964370727539,0.15625
124,11.584880828857422,0.28125
125,13.599642753601074,0.15625
126,13.095952033996582,0.1875
127,13.59964370727539,0.15625
128,11.584880828857422,0.28125
129,12.592262268066406,0.21875
130,15.110713958740234,0.0625
131,12.088571548461914,0.25
132,12.592262268066406,0.21875
133,12.088571548461914,0.25
134,14.607023239135742,0.09375
135,11.584880828857422,0.28125
136,14.103333473205566,0.125
137,13.59964370727539,0.15625
138,13.815510749816895,0.1428571492433548
139,14.607023239135742,0.09375
140,10.577499389648438,0.34375
141,13.095952987670898,0.1875
142,12.088571548461914,0.25
143,14.607023239135742,0.09375
144,13.599642753601074,0.15625
145,13.59964370727539,0.15625
146,14.103333473205566,0.125
147,14.103333473205566,0.125
148,12.592262268066406,0.21875
149,13.095952987670898,0.1875
150,13.095952033996582,0.1875
151,15.614404678344727,0.03125
152,9.066429138183594,0.4375
153,14.103333473205566,0.125
154,11.08119010925293,0.3125
155,14.103333473205566,0.125
156,15.110713958740234,0.0625
157,15.110713958740234,0.0625
158,13.095952987670898,0.1875
159,15.110713958740234,0.0625
160,14.103333473205566,0.125
161,14.607023239135742,0.09375
162,13.095952987670898,0.1875
163,12.088571548461914,0.25
164,12.088571548461914,0.25
165,12.088571548461914,0.25
166,14.103333473205566,0.125
167,14.103333473205566,0.125
168,14.607023239135742,0.09375
169,14.103333473205566,0.125
170,15.110713958740234,0.0625
171,15.110713958740234,0.0625
172,14.103333473205566,0.125
173,12.088571548461914,0.25
174,13.59964370727539,0.15625
175,12.592262268066406,0.21875
176,13.59964370727539,0.15625
177,12.592262268066406,0.21875
178,11.584880828857422,0.28125
179,11.584880828857422,0.28125
180,13.599642753601074,0.15625
181,12.592262268066406,0.21875
182,14.607024192810059,0.09375
183,12.592262268066406,0.21875
184,14.103333473205566,0.125
185,13.59964370727539,0.15625
186,14.607023239135742,0.09375
187,14.607023239135742,0.09375
188,13.095952987670898,0.1875
189,12.088571548461914,0.25
190,16.11809539794922,0.0
191,13.095952987670898,0.1875
192,13.095952987670898,0.1875
193,12.088571548461914,0.25
194,14.607024192810059,0.09375
195,14.103333473205566,0.125
196,12.088571548461914,0.25
197,13.59964370727539,0.15625
198,12.592262268066406,0.21875
199,12.592262268066406,0.21875
200,12.592262268066406,0.21875
201,14.607023239135742,0.09375
202,11.584880828857422,0.28125
203,13.59964370727539,0.15625
204,13.599642753601074,0.15625
205,12.592262268066406,0.21875
206,15.614404678344727,0.03125
207,13.59964370727539,0.15625
208,14.103333473205566,0.125
209,13.59964370727539,0.15625
210,15.110713958740234,0.0625
211,13.095952033996582,0.1875
212,14.103333473205566,0.125
213,14.607023239135742,0.09375
214,11.08119010925293,0.3125
215,12.088571548461914,0.25
216,14.103333473205566,0.125
217,13.095952987670898,0.1875
218,13.095952987670898,0.1875
219,14.103333473205566,0.125
220,12.592262268066406,0.21875
221,13.599642753601074,0.15625
222,13.095952987670898,0.1875
223,14.607023239135742,0.09375
224,14.103333473205566,0.125
225,12.088571548461914,0.25
226,11.584880828857422,0.28125
227,14.607023239135742,0.09375
228,13.095952987670898,0.1875
229,13.095952987670898,0.1875
230,13.095952987670898,0.1875
231,13.59964370727539,0.15625
232,13.59964370727539,0.15625
233,13.095952987670898,0.1875
234,13.59964370727539,0.15625
235,15.110713958740234,0.0625
236,13.095952987670898,0.1875
237,13.59964370727539,0.15625
238,12.088571548461914,0.25
239,14.103333473205566,0.125
240,13.599642753601074,0.15625
241,14.103333473205566,0.125
242,12.592262268066406,0.21875
243,14.103333473205566,0.125
244,14.103333473205566,0.125
245,11.08119010925293,0.3125
246,12.088571548461914,0.25
247,11.08119010925293,0.3125
248,14.103333473205566,0.125
249,12.592262268066406,0.21875
250,11.584880828857422,0.28125
251,13.095952987670898,0.1875
252,14.103333473205566,0.125
253,15.110713958740234,0.0625
254,11.08119010925293,0.3125
255,12.592262268066406,0.21875
256,12.592262268066406,0.21875
257,14.607023239135742,0.09375
258,13.599642753601074,0.15625
259,13.59964370727539,0.15625
260,13.599642753601074,0.15625
261,14.103333473205566,0.125
262,14.607023239135742,0.09375
263,12.592262268066406,0.21875
264,14.103333473205566,0.125
265,13.59964370727539,0.15625
266,12.088571548461914,0.25
267,15.614404678344727,0.03125
268,12.088571548461914,0.25
269,13.59964370727539,0.15625
270,11.584880828857422,0.28125
271,13.599642753601074,0.15625
272,13.095952033996582,0.1875
273,15.110713958740234,0.0625
274,12.088571548461914,0.25
275,14.607023239135742,0.09375
276,13.59964370727539,0.15625
277,12.592262268066406,0.21875
278,13.095952987670898,0.1875
279,11.584880828857422,0.28125
280,11.584880828857422,0.28125
281,15.110713958740234,0.0625
282,12.592262268066406,0.21875
283,13.59964370727539,0.15625
284,9.21034049987793,0.4285714328289032
285,15.110713958740234,0.0625
286,14.607024192810059,0.09375
287,11.08119010925293,0.3125
288,13.59964370727539,0.15625
289,13.095952987670898,0.1875
290,13.095952987670898,0.1875
291,11.584880828857422,0.28125
292,13.095952987670898,0.1875
293,12.088571548461914,0.25
294,12.088571548461914,0.25
295,15.110713958740234,0.0625
296,13.59964370727539,0.15625
297,14.103333473205566,0.125
298,12.592262268066406,0.21875
299,14.103333473205566,0.125
300,14.103333473205566,0.125
301,14.103333473205566,0.125
302,15.614404678344727,0.03125
303,12.592262268066406,0.21875
304,12.088571548461914,0.25
305,14.607024192810059,0.09375
306,13.095952987670898,0.1875
307,11.584880828857422,0.28125
308,14.103333473205566,0.125
309,14.103333473205566,0.125
310,13.599642753601074,0.15625
311,11.584880828857422,0.28125
312,12.592262268066406,0.21875
313,14.103333473205566,0.125
314,14.103333473205566,0.125
315,12.592262268066406,0.21875
316,13.095952987670898,0.1875
317,12.592262268066406,0.21875
318,12.088571548461914,0.25
319,13.095952987670898,0.1875
320,13.095952987670898,0.1875
321,14.607023239135742,0.09375
322,12.088571548461914,0.25
323,13.095952987670898,0.1875
324,11.584880828857422,0.28125
325,14.103333473205566,0.125
326,11.584880828857422,0.28125
327,13.095952987670898,0.1875
328,13.095952987670898,0.1875
329,13.59964370727539,0.15625
330,12.592262268066406,0.21875
331,13.59964370727539,0.15625
332,12.592262268066406,0.21875
333,12.592262268066406,0.21875
334,12.592262268066406,0.21875
335,13.59964370727539,0.15625
336,14.103333473205566,0.125
337,13.095952987670898,0.1875
338,13.095952987670898,0.1875
339,13.599642753601074,0.15625
340,14.103333473205566,0.125
341,14.103333473205566,0.125
342,14.607023239135742,0.09375
343,14.607024192810059,0.09375
344,12.592262268066406,0.21875
345,14.103333473205566,0.125
346,13.59964370727539,0.15625
347,13.59964370727539,0.15625
348,12.088571548461914,0.25
349,12.592262268066406,0.21875
350,12.592262268066406,0.21875
351,13.095952987670898,0.1875
352,12.592262268066406,0.21875
353,13.095952987670898,0.1875
354,12.088571548461914,0.25
355,15.110713958740234,0.0625
356,13.599642753601074,0.15625
357,11.584880828857422,0.28125
358,13.095952033996582,0.1875
359,13.59964370727539,0.15625
360,11.584880828857422,0.28125
361,14.103333473205566,0.125
362,15.614404678344727,0.03125
363,12.592262268066406,0.21875
364,14.103333473205566,0.125
365,13.599642753601074,0.15625
366,14.103333473205566,0.125
367,14.103333473205566,0.125
368,14.103333473205566,0.125
369,14.607023239135742,0.09375
370,15.110713958740234,0.0625
371,14.607023239135742,0.09375
372,13.095952987670898,0.1875
373,12.088571548461914,0.25
374,13.59964370727539,0.15625
375,16.11809539794922,0.0
376,13.59964370727539,0.15625
377,14.607023239135742,0.09375
378,14.103333473205566,0.125
379,11.584880828857422,0.28125
380,12.088571548461914,0.25
381,13.095952987670898,0.1875
382,13.599642753601074,0.15625
383,11.584880828857422,0.28125
384,13.095952987670898,0.1875
385,12.088571548461914,0.25
386,13.095952987670898,0.1875
387,14.103333473205566,0.125
388,12.592262268066406,0.21875
389,13.095952987670898,0.1875
390,13.095952987670898,0.1875
391,15.614404678344727,0.03125
392,14.103333473205566,0.125
393,12.592262268066406,0.21875
394,12.592262268066406,0.21875
395,15.110713958740234,0.0625
396,12.088571548461914,0.25
397,14.607023239135742,0.09375
398,13.095952987670898,0.1875
399,15.110713958740234,0.0625
400,11.584880828857422,0.28125
401,12.592262268066406,0.21875
402,14.103333473205566,0.125
403,14.103333473205566,0.125
404,12.088571548461914,0.25
405,14.607023239135742,0.09375
406,11.584880828857422,0.28125
407,12.592262268066406,0.21875
408,14.103333473205566,0.125
409,13.59964370727539,0.15625
