,losses,accuracy
0,0.15995115041732788,0.09375
1,0.2999807596206665,0.25
2,0.3370722532272339,0.15625
3,0.2735593914985657,0.3125
4,0.2884562611579895,0.21875
5,0.3375000059604645,0.15625
6,0.2875000238418579,0.28125
7,0.32499998807907104,0.1875
8,0.3125,0.21875
9,0.36247366666793823,0.09375
10,0.3218499720096588,0.1875
11,0.26249122619628906,0.34375
12,0.3874995708465576,0.03125
13,0.2875000238418579,0.28125
14,0.25,0.375
15,0.30000001192092896,0.25
16,0.2750000059604645,0.3125
17,0.26249998807907104,0.34375
18,0.3500000238418579,0.125
19,0.30000001192092896,0.25
20,0.2750000059604645,0.3125
21,0.32500001788139343,0.1875
22,0.25,0.375
23,0.2875000238418579,0.28125
24,0.2750000059604645,0.3125
25,0.30000001192092896,0.25
26,0.25,0.375
27,0.3125,0.21875
28,0.375,0.0625
29,0.2875000238418579,0.28125
30,0.2875000238418579,0.28125
31,0.2750000059604645,0.3125
32,0.32500001788139343,0.1875
33,0.30000001192092896,0.25
34,0.32499998807907104,0.1875
35,0.3125,0.21875
36,0.2750000059604645,0.3125
37,0.22857142984867096,0.4285714328289032
38,0.3500000238418579,0.125
39,0.2750000059604645,0.3125
40,0.2875000238418579,0.28125
41,0.32499998807907104,0.1875
42,0.3125,0.21875
43,0.30000001192092896,0.25
44,0.3125,0.21875
45,0.30000001192092896,0.25
46,0.2874999940395355,0.28125
47,0.30000001192092896,0.25
48,0.2750000059604645,0.3125
49,0.30000001192092896,0.25
50,0.32499998807907104,0.1875
51,0.2875000238418579,0.28125
52,0.3125,0.21875
53,0.3125,0.21875
54,0.30000001192092896,0.25
55,0.3375000059604645,0.15625
56,0.33750003576278687,0.15625
57,0.3125,0.21875
58,0.3125,0.21875
59,0.30000001192092896,0.25
60,0.2875000238418579,0.28125
61,0.2750000059604645,0.3125
62,0.30000001192092896,0.25
63,0.30000001192092896,0.25
64,0.3125,0.21875
65,0.2875000238418579,0.28125
66,0.26249998807907104,0.34375
67,0.3500000238418579,0.125
68,0.3125,0.21875
69,0.2750000059604645,0.3125
70,0.2750000059604645,0.3125
71,0.32500001788139343,0.1875
72,0.3375000059604645,0.15625
73,0.30000001192092896,0.25
74,0.2750000059604645,0.3125
75,0.2875000238418579,0.28125
76,0.3125,0.21875
77,0.3125,0.21875
78,0.2875000238418579,0.28125
79,0.25,0.375
80,0.2875000238418579,0.28125
81,0.2750000059604645,0.3125
82,0.3375000059604645,0.15625
83,0.22499999403953552,0.4375
84,0.32500001788139343,0.1875
85,0.2750000059604645,0.3125
86,0.3375000059604645,0.15625
87,0.3125,0.21875
88,0.32499998807907104,0.1875
89,0.30000001192092896,0.25
90,0.33750003576278687,0.15625
91,0.32499998807907104,0.1875
92,0.22499999403953552,0.4375
