,losses,accuracy
0,0.16111813485622406,0.21875
1,0.22942547500133514,0.3125
2,0.3150061070919037,0.125
3,0.27844035625457764,0.25
4,0.22953149676322937,0.28125
5,0.24303708970546722,0.21875
6,0.17710652947425842,0.40625
7,0.23055359721183777,0.25
8,0.21263925731182098,0.21875
9,0.14338141679763794,0.4375
10,0.1821800172328949,0.1875
11,0.15828904509544373,0.3125
12,0.1556822657585144,0.34375
13,0.15531723201274872,0.28125
14,0.1566537320613861,0.1875
15,0.16009709239006042,0.125
16,0.1442345380783081,0.46875
17,0.14780554175376892,0.375
18,0.15159209072589874,0.28125
19,0.14315244555473328,0.34375
20,0.15598464012145996,0.25
21,0.16282957792282104,0.28125
22,0.15538367629051208,0.21875
23,0.1543041318655014,0.21875
24,0.154555082321167,0.25
25,0.1462094634771347,0.34375
26,0.1500168740749359,0.4375
27,0.16359038650989532,0.34375
28,0.1543889343738556,0.3125
29,0.1472102850675583,0.375
30,0.15744049847126007,0.1875
31,0.15591496229171753,0.1875
32,0.15786702930927277,0.1875
33,0.14373072981834412,0.40625
34,0.16138719022274017,0.1875
35,0.14772047102451324,0.28125
36,0.15595903992652893,0.15625
37,0.14043384790420532,0.5
38,0.14760330319404602,0.34375
39,0.1438971757888794,0.3125
40,0.1467454433441162,0.375
41,0.1404753476381302,0.3125
42,0.15547442436218262,0.21875
43,0.12413208186626434,0.53125
44,0.13437232375144958,0.4375
45,0.14742997288703918,0.28125
46,0.12161862850189209,0.53125
47,0.13754315674304962,0.375
48,0.13616414368152618,0.4375
49,0.13652408123016357,0.40625
50,0.1293787956237793,0.4375
51,0.11053948104381561,0.625
52,0.1422317922115326,0.40625
53,0.13242417573928833,0.4375
54,0.1430022120475769,0.59375
55,0.12414838373661041,0.5
56,0.12780848145484924,0.5625
57,0.1652686595916748,0.3125
58,0.11246029287576675,0.5714285969734192
59,0.0919034332036972,0.75
60,0.1255832016468048,0.53125
61,0.16245369613170624,0.34375
62,0.1296495795249939,0.40625
63,0.1449281871318817,0.4375
64,0.11576271057128906,0.59375
65,0.13264986872673035,0.5
66,0.12235824018716812,0.40625
67,0.13524584472179413,0.40625
68,0.10132020711898804,0.65625
69,0.13021937012672424,0.46875
70,0.15517784655094147,0.34375
71,0.11686146259307861,0.53125
72,0.1391633301973343,0.46875
73,0.12459931522607803,0.5625
74,0.11161978542804718,0.5625
75,0.14219535887241364,0.375
76,0.11757960915565491,0.5625
77,0.12916196882724762,0.53125
78,0.13935431838035583,0.4375
79,0.10541661083698273,0.625
80,0.1304163932800293,0.40625
81,0.12993380427360535,0.4375
82,0.11929803341627121,0.625
83,0.13937515020370483,0.4375
84,0.09951010346412659,0.65625
85,0.12471704185009003,0.4375
86,0.12764129042625427,0.53125
87,0.12919144332408905,0.53125
88,0.15303221344947815,0.3125
89,0.1112234964966774,0.59375
90,0.13276226818561554,0.46875
91,0.11665789783000946,0.59375
92,0.09483249485492706,0.59375
93,0.10093037784099579,0.59375
94,0.1206059455871582,0.59375
95,0.09929697215557098,0.625
96,0.10878889262676239,0.46875
97,0.12475164234638214,0.40625
98,0.14672857522964478,0.40625
99,0.12046878039836884,0.5625
100,0.11289329081773758,0.5625
101,0.13815703988075256,0.40625
102,0.11763021349906921,0.5
103,0.09736199676990509,0.625
104,0.14321273565292358,0.40625
105,0.126063734292984,0.5625
106,0.12577718496322632,0.5625
107,0.12733449041843414,0.4375
108,0.11042068898677826,0.59375
109,0.1082528829574585,0.59375
110,0.12622717022895813,0.40625
111,0.12084800004959106,0.5625
112,0.11560672521591187,0.5
113,0.1380135864019394,0.5
114,0.12783482670783997,0.65625
115,0.09360378980636597,0.6875
116,0.10857045650482178,0.65625
117,0.11875706166028976,0.59375
118,0.11259166896343231,0.59375
119,0.10115858912467957,0.59375
120,0.10247726738452911,0.59375
121,0.11943337321281433,0.65625
122,0.103395976126194,0.59375
123,0.12682171165943146,0.40625
124,0.09779495745897293,0.71875
125,0.09216979891061783,0.625
126,0.12306484580039978,0.5
127,0.11333626508712769,0.5625
128,0.12987545132637024,0.59375
129,0.12798388302326202,0.53125
130,0.12504518032073975,0.4375
131,0.10648514330387115,0.59375
132,0.10866216570138931,0.53125
133,0.10542251169681549,0.5625
134,0.1246214434504509,0.53125
135,0.11460049450397491,0.59375
136,0.1292351633310318,0.5
137,0.10629421472549438,0.65625
138,0.1059722900390625,0.5625
139,0.0956278145313263,0.65625
140,0.11836850643157959,0.5625
141,0.10348264873027802,0.625
142,0.135872483253479,0.5
143,0.0827801525592804,0.65625
144,0.10108793526887894,0.6875
145,0.10367240011692047,0.59375
146,0.10551851987838745,0.65625
147,0.10884183645248413,0.59375
148,0.1017589271068573,0.5625
149,0.11138403415679932,0.53125
150,0.10671251267194748,0.65625
151,0.1030067577958107,0.625
152,0.08868354558944702,0.75
153,0.08740395307540894,0.65625
154,0.10053442418575287,0.65625
155,0.09511964023113251,0.6875
156,0.11706055700778961,0.5625
157,0.12961739301681519,0.46875
158,0.09176860749721527,0.625
159,0.10311388224363327,0.65625
160,0.07927896082401276,0.6875
161,0.11750078201293945,0.53125
162,0.12126138806343079,0.4375
163,0.09271186590194702,0.6875
164,0.11671534180641174,0.5625
165,0.10139943659305573,0.625
166,0.08867762982845306,0.625
167,0.0510074682533741,0.90625
168,0.12514358758926392,0.5
169,0.106959268450737,0.625
170,0.1220628172159195,0.5625
171,0.12515795230865479,0.5
172,0.14309841394424438,0.375
173,0.12189045548439026,0.5625
174,0.11199943721294403,0.5
175,0.08454814553260803,0.75
176,0.11965525150299072,0.5
177,0.1288033276796341,0.4375
